id,text,tokens,tags,is_cs,en_count,tr_count,en_ratio,token_count,group,berturk_label,berturk_score,xlmr_label,xlmr_score
11.0,"ama çoğu kelime ciddi manada gereksiz kullanılıyor ve çok eğreti duruyor. product'a ürün demek, change etmek'e değiştirme demek ya da reach'e ulaşma demek çok zor değildir.","['ama', 'çoğu', 'kelime', 'ciddi', 'manada', 'gereksiz', 'kullanılıyor', 've', 'çok', 'eğreti', 'duruyor', ""product'a"", 'ürün', 'demek', 'change', ""etmek'e"", 'değiştirme', 'demek', 'ya', 'da', ""reach'e"", 'ulaşma', 'demek', 'çok', 'zor', 'değildir']","['T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'E', 'T', 'T', 'E', 'T', 'T', 'T', 'T', 'T', 'E', 'T', 'T', 'T', 'T', 'T']",True,3,23.0,0.115,26.0,code_switched,negative,0.998867392539978,negative,0.7606151700019836
12.0,arkadaslar herkes 2015 line-up'larini finalize etsin ve forecastleri girmeye baslasin,"['arkadaslar', 'herkes', ""line-up'larini"", 'finalize', 'etsin', 've', 'forecastleri', 'girmeye', 'baslasin']","['T', 'T', 'E', 'E', 'T', 'T', 'E', 'T', 'T']",True,3,6.0,0.333,9.0,code_switched,positive,0.9816473126411438,neutral,0.6116352677345276
13.0,"yöneticiyi koridorda sıkıştırıp, 'bilmemne bey, şunlar şöyle şöyle, bunlar da böyle böyle, e nolucak sen söyle' demem sonucu 'work around yap' dediydi. o ne ola ki de denmiyo tabi.","['yöneticiyi', 'koridorda', 'sıkıştırıp', 'bilmemne', 'bey', 'şunlar', 'şöyle', 'şöyle', 'bunlar', 'da', 'böyle', 'böyle', 'e', 'nolucak', 'sen', 'söyle', 'demem', 'sonucu', 'work', 'around', 'yap', 'dediydi', 'o', 'ne', 'ola', 'ki', 'de', 'denmiyo', 'tabi']","['T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'E', 'E', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T']",True,2,27.0,0.069,29.0,code_switched,negative,0.8726378083229065,negative,0.43494799733161926
14.0,böyle bir cancellation fee ile kendimizi hedge etmek zorundayız açıkçası aksi halde oraya alloke ettiğimiz resource ‘un emek ve zamanını finance edememiş oluruz.,"['böyle', 'bir', 'cancellation', 'fee', 'ile', 'kendimizi', 'hedge', 'etmek', 'zorundayız', 'açıkçası', 'aksi', 'halde', 'oraya', 'alloke', 'ettiğimiz', 'resource', 'un', 'emek', 've', 'zamanını', 'finance', 'edememiş', 'oluruz']","['T', 'T', 'E', 'E', 'T', 'T', 'E', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'E', 'T', 'T', 'T', 'T', 'E', 'T', 'T']",True,5,18.0,0.217,23.0,code_switched,negative,0.9980337023735046,negative,0.8575653433799744
15.0,time frame ve position bildirmeden system out yapmıyoruz.,"['time', 'frame', 've', 'position', 'bildirmeden', 'system', 'out', 'yapmıyoruz']","['E', 'E', 'T', 'E', 'T', 'E', 'E', 'T']",True,5,3.0,0.625,8.0,code_switched,negative,0.9810121059417725,neutral,0.5329277515411377
16.0,job sistemde schedule edilerek belli bir saatte execute edilecektir.,"['job', 'sistemde', 'schedule', 'edilerek', 'belli', 'bir', 'saatte', 'execute', 'edilecektir']","['E', 'T', 'E', 'T', 'T', 'T', 'T', 'E', 'T']",True,3,6.0,0.333,9.0,code_switched,positive,0.9820742011070251,neutral,0.8439475297927856
17.0,birgün gazetesinin de handle ettiği olmamışlık.,"['birgün', 'gazetesinin', 'de', 'handle', 'ettiği', 'olmamışlık']","['T', 'T', 'T', 'E', 'T', 'T']",True,1,5.0,0.167,6.0,code_switched,negative,0.9990227222442627,negative,0.7032314538955688
18.0,emin değilim kuvvetle muhtemel bir plaza çalışanı eğlenmeye geldiği barda arkadaşlarına şimdi biraz önce şöyle seslendi: evet ne içiyorsunuz? bu round benden,"['emin', 'değilim', 'kuvvetle', 'muhtemel', 'bir', 'plaza', 'çalışanı', 'eğlenmeye', 'geldiği', 'barda', 'arkadaşlarına', 'şimdi', 'biraz', 'önce', 'şöyle', 'seslendi', 'evet', 'ne', 'içiyorsunuz', 'bu', 'round', 'benden']","['T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'E', 'T']",True,1,21.0,0.045,22.0,code_switched,positive,0.7646825909614563,neutral,0.6802895665168762
19.0,sana thankslerimi yolluyorum bu dile aittir.,"['sana', 'thankslerimi', 'yolluyorum', 'bu', 'dile', 'aittir']","['T', 'E', 'T', 'T', 'T', 'T']",True,1,5.0,0.167,6.0,code_switched,positive,0.9964595437049866,neutral,0.5571655631065369
20.0,"kırmızı ile işaretlediklerim dışındakiler pass edilebilecek gibi duruyor. sen client'ı push et o arada, sonra bana feedback verirsin. sen silent kal, ben konuşucam şimdi","['kırmızı', 'ile', 'işaretlediklerim', 'dışındakiler', 'pass', 'edilebilecek', 'gibi', 'duruyor', 'sen', ""client'ı"", 'push', 'et', 'o', 'arada', 'sonra', 'bana', 'feedback', 'verirsin', 'sen', 'silent', 'kal', 'ben', 'konuşucam', 'şimdi']","['T', 'T', 'T', 'T', 'E', 'T', 'T', 'T', 'T', 'E', 'E', 'T', 'T', 'T', 'T', 'T', 'E', 'T', 'T', 'E', 'T', 'T', 'T', 'T']",True,5,19.0,0.208,24.0,code_switched,positive,0.6489670872688293,negative,0.4995019733905792
21.0,"evet, evet gelmeyecekmiş, no dedi. diğerleri accept ederse invitation'ı reply et","['evet', 'evet', 'gelmeyecekmiş', 'no', 'dedi', 'diğerleri', 'accept', 'ederse', ""invitation'ı"", 'reply', 'et']","['T', 'T', 'T', 'E', 'T', 'T', 'E', 'T', 'E', 'E', 'T']",True,4,7.0,0.364,11.0,code_switched,positive,0.9504234194755554,neutral,0.6297363042831421
22.0,"bilmem ne parçalarını ship ettik, bu işi senin drive etmeni istiyorum, nakliyeci ile konuşup parçanın pick-up'ını ayarlar mısın?","['bilmem', 'ne', 'parçalarını', 'ship', 'ettik', 'bu', 'işi', 'senin', 'drive', 'etmeni', 'istiyorum', 'nakliyeci', 'ile', 'konuşup', 'parçanın', ""pick-up'ını"", 'ayarlar', 'mısın']","['T', 'T', 'T', 'E', 'T', 'T', 'T', 'T', 'E', 'T', 'T', 'T', 'T', 'T', 'T', 'E', 'T', 'T']",True,3,15.0,0.167,18.0,code_switched,negative,0.8800381422042847,neutral,0.6609931588172913
23.0,ikinci quarter’da karlılığımız yüzde 13 oranında artmış durumda.,"['ikinci', 'quarter’da', 'karlılığımız', 'yüzde', 'oranında', 'artmış', 'durumda']","['T', 'E', 'T', 'T', 'T', 'T', 'T']",True,1,6.0,0.143,7.0,code_switched,negative,0.6583335995674133,positive,0.444149911403656
24.0,"bir de 10 cümlelik bir konuşmanın 4-5 cümlesinin tamamen ingilizce olmasına karşıyım. you know what, seni döverim çocuk.","['bir', 'de', 'cümlelik', 'bir', 'konuşmanın', 'cümlesinin', 'tamamen', 'ingilizce', 'olmasına', 'karşıyım', 'you', 'know', 'what', 'seni', 'döverim', 'çocuk']","['T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'E', 'E', 'E', 'T', 'T', 'T']",True,3,13.0,0.188,16.0,code_switched,negative,0.980467677116394,negative,0.8836928606033325
25.0,şuanda yeni yeni league of legends yayınları yapmaya başladım ve streamer olarak kendimi geliştirmeyi düşünüyorum. pek tryhard oyunları değilde genelde fun gameleri tercih ediyorum ve seviyeli oyuncularla oynamayı seviyorum. istediğiniz şarkı streamde dinlenmesini istiyorsanız yada istekleriniz için yayın chat'inden yada facebook sayfamdan mesaj atarak ulaşabilirsiniz.,"['şuanda', 'yeni', 'yeni', 'league', 'of', 'legends', 'yayınları', 'yapmaya', 'başladım', 've', 'streamer', 'olarak', 'kendimi', 'geliştirmeyi', 'düşünüyorum']","['T', 'T', 'T', 'E', 'E', 'E', 'T', 'T', 'T', 'T', 'E', 'T', 'T', 'T', 'T']",True,4,11.0,0.267,15.0,code_switched,positive,0.9274843335151672,positive,0.4873284697532654
26.0,berkecim dün maile blueprint'leri attach etmemişsin. dalgınlığına geldi sanırım,"['pek', 'try', 'hard', 'oyunları', 'değilde', 'genelde', 'fun', 'gameleri', 'tercih', 'ediyorum', 've', 'seviyeli', 'oyuncularla', 'oynamayı', 'seviyorum']","['T', 'E', 'E', 'T', 'T', 'T', 'E', 'E', 'T', 'T', 'T', 'T', 'T', 'T', 'T']",True,4,11.0,0.267,15.0,code_switched,negative,0.9889490604400635,negative,0.7420462965965271
27.0,çok sorry efendim hemen check edip yolluyorum,"['istediğiniz', 'şarkı', 'streamde', 'dinlenmesini', 'istiyorsanız', 'yada', 'istekleriniz', 'için', 'yayın', ""chat'inden"", 'yada', 'facebook', 'sayfamdan', 'mesaj', 'atarak', 'ulaşabilirsiniz']","['T', 'T', 'E', 'T', 'T', 'T', 'T', 'T', 'T', 'E', 'T', 'E', 'T', 'T', 'T', 'T']",True,3,13.0,0.188,16.0,code_switched,positive,0.9971760511398315,negative,0.801813542842865
28.0,projedeki defect'lerin üzerinden birlikte geçelim.,"['berkecim', 'dün', 'maile', ""blueprint'leri"", 'attach', 'etmemişsin', 'dalgınlığına', 'geldi', 'sanırım']","['T', 'T', 'E', 'E', 'E', 'T', 'T', 'T', 'T']",True,3,6.0,0.333,9.0,code_switched,negative,0.7082744836807251,neutral,0.7299253940582275
29.0,"neyse, canım lütfen beni bu tip maillerde cc'ye ekleyip forward etmeyin. diğerleri ok.dir","['çok', 'sorry', 'efendim', 'hemen', 'check', 'edip', 'yolluyorum']","['T', 'E', 'T', 'T', 'E', 'T', 'T']",True,2,5.0,0.286,7.0,code_switched,negative,0.5720739364624023,negative,0.8062917590141296
30.0,"whiteraistlin bey, comment'leriniz için müteşekkiriz. şimdi biz comment'lerimizi client'ımıza forward edeceğiz, onlardan approval'ı almamızı müteakip, hızlı bir kick-off meeting için bir date set ederiz, bizimkilerin de participate etmek istemeleri halinde sizin client'ınız da iştirak ederse seviniriz.","['projedeki', ""defect'lerin"", 'üzerinden', 'birlikte', 'geçelim']","['T', 'E', 'T', 'T', 'T']",True,1,4.0,0.2,5.0,code_switched,positive,0.9065573215484619,positive,0.668117105960846
31.0,"take cover, grenade! ya da fire in the hole! diye karşılık vereceksin böylesine, mavi ekran versin direk. pardon; blue screen of death diyecektim.","['neyse', 'canım', 'lütfen', 'beni', 'bu', 'tip', 'maillerde', 'ekleyip', 'forward', 'etmeyin', 'diğerleri', 'ok', 'dir']","['T', 'T', 'T', 'T', 'T', 'T', 'E', 'T', 'E', 'T', 'T', 'E', 'T']",True,3,10.0,0.231,13.0,code_switched,negative,0.9694599509239197,neutral,0.36738982796669006
32.0,değerde dolar tutarı için hedge edilmekte ve yıllık olarak proje süresi arttıkça roll out edilmekte ve transaction masrafı oluşmaktadır.,"['whiteraistlin', 'bey', ""comment'leriniz"", 'için', 'müteşekkiriz', 'şimdi', 'biz', ""comment'lerimizi"", ""client'ımıza"", 'forward', 'edeceğiz', 'onlardan', ""approval'ı"", 'almamızı', 'müteakip', 'hızlı', 'bir', 'kick-off', 'meeting', 'için', 'bir', 'date', 'set', 'ederiz', 'bizimkilerin', 'de', 'participate', 'etmek', 'istemeleri', 'halinde', 'sizin', ""client'ınız"", 'da', 'iştirak', 'ederse', 'seviniriz']","['E', 'T', 'E', 'T', 'T', 'T', 'T', 'E', 'E', 'E', 'T', 'T', 'E', 'T', 'T', 'T', 'T', 'E', 'E', 'T', 'T', 'E', 'E', 'T', 'T', 'T', 'E', 'T', 'T', 'T', 'T', 'E', 'T', 'T', 'T', 'T']",True,12,24.0,0.333,36.0,code_switched,negative,0.9987615346908569,neutral,0.7764778733253479
33.0,- bu setupsal bir issue...,"['take', 'cover', 'grenade', 'ya', 'da', 'fire', 'in', 'the', 'hole', 'diye', 'karşılık', 'vereceksin', 'böylesine', 'mavi', 'ekran', 'versin', 'direk', 'pardon', 'blue', 'screen', 'of', 'death', 'diyecektim']","['E', 'E', 'E', 'T', 'T', 'E', 'E', 'E', 'E', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'E', 'E', 'E', 'E', 'T']",True,11,12.0,0.478,23.0,code_switched,positive,0.9038570523262024,negative,0.7361946105957031
34.0,bizim plaza asansöründe duyduğum bir laf buna örnek verilebilir: dışarıda olunca focus'um dilute oluyor.,"['değerde', 'dolar', 'tutarı', 'için', 'hedge', 'edilmekte', 've', 'yıllık', 'olarak', 'proje', 'süresi', 'arttıkça', 'roll', 'out', 'edilmekte', 've', 'transaction', 'masrafı', 'oluşmaktadır']","['T', 'T', 'T', 'T', 'E', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'E', 'E', 'T', 'T', 'E', 'T', 'T']",True,4,15.0,0.211,19.0,code_switched,positive,0.682202160358429,neutral,0.5362512469291687
35.0,ben o product'ı öldürücem zaten.,"['bu', 'setupsal', 'bir', 'issue']","['T', 'E', 'T', 'E']",True,2,2.0,0.5,4.0,code_switched,positive,0.6932958960533142,negative,0.7055541276931763
36.0,salary olarak daha tatmin edici bir yer buldum.,"['bizim', 'plaza', 'asansöründe', 'duyduğum', 'bir', 'laf', 'buna', 'örnek', 'verilebilir', 'dışarıda', 'olunca', ""focus'um"", 'dilute', 'oluyor']","['T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'E', 'E', 'T']",True,2,12.0,0.143,14.0,code_switched,negative,0.9968558549880981,positive,0.8260876536369324
37.0,definately bir weekend away yapılmalı buraya,"['ben', 'o', ""product'ı"", 'öldürücem', 'zaten']","['T', 'T', 'E', 'T', 'T']",True,1,4.0,0.2,5.0,code_switched,positive,0.9881908893585205,neutral,0.4558095633983612
38.0,gülmekten entry giremedim mazur görün.,"['salary', 'olarak', 'daha', 'tatmin', 'edici', 'bir', 'yer', 'buldum']","['E', 'T', 'T', 'T', 'T', 'T', 'T', 'T']",True,1,7.0,0.125,8.0,code_switched,negative,0.986812174320221,negative,0.6754270195960999
39.0,tamam ozakman'cığım ama bunu further discuss ediyor olacağız.,"['definately', 'bir', 'weekend', 'away', 'yapılmalı', 'buraya']","['E', 'T', 'E', 'E', 'T', 'T']",True,3,3.0,0.5,6.0,code_switched,positive,0.9114652276039124,neutral,0.5896027684211731
40.0,-ilgili yatırımın business case'i hazırlanmalıdır.,"['gülmekten', 'entry', 'giremedim', 'mazur', 'görün']","['T', 'E', 'T', 'T', 'T']",True,1,4.0,0.2,5.0,code_switched,positive,0.8981881737709045,neutral,0.7992924451828003
41.0,"-sürece ilişkin kpi'lar, best practice'ler ve şirket ihtiyaçları doğrultusunda belirlenmiştir.","['tamam', ""ozakman'cığım"", 'ama', 'bunu', 'further', 'discuss', 'ediyor', 'olacağız']","['T', 'T', 'T', 'T', 'E', 'E', 'T', 'T']",True,2,6.0,0.25,8.0,code_switched,positive,0.9959515333175659,neutral,0.8995339274406433
42.0,-belirlenen yol haritasındaki initiative'lerin uygulanması durumunda hedeflenen faydalar listelenmiştir.,"['ilgili', 'yatırımın', 'business', ""case'i"", 'hazırlanmalıdır']","['T', 'T', 'T', 'E', 'T']",True,1,4.0,0.2,5.0,code_switched,positive,0.9778644442558289,neutral,0.7642347812652588
43.0,ama ben bunu şirketime expense edeceğim şeklinde bir cümle kalıbını az önce duyduğum edebiyat.,"['sürece', 'ilişkin', 'best', ""practice'ler"", 've', 'şirket', 'ihtiyaçları', 'doğrultusunda', 'belirlenmiştir']","['T', 'T', 'E', 'E', 'T', 'T', 'T', 'T', 'T']",True,2,7.0,0.222,9.0,code_switched,negative,0.9837409257888794,neutral,0.45810389518737793
44.0,first major bir durum olmadıkça standart sözleşme uygulanmaktadır.,"['-belirlenen', 'yol', 'haritasındaki', ""initiative'lerin"", 'uygulanması', 'durumunda', 'hedeflenen', 'faydalar', 'listelenmiştir']","['T', 'T', 'T', 'E', 'T', 'T', 'T', 'T', 'T']",True,1,8.0,0.111,9.0,code_switched,positive,0.9566732048988342,neutral,0.8400964140892029
45.0,demonstrationını fiziksel olarak kullanıp olumlu sonuç alırsak spesifik olarak hayata geçiririz.,"['ama', 'ben', 'bunu', 'şirketime', 'expense', 'edeceğim', 'şeklinde', 'bir', 'cümle', 'kalıbını', 'az', 'önce', 'duyduğum', 'edebiyat']","['T', 'T', 'T', 'T', 'E', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T']",True,1,13.0,0.071,14.0,code_switched,positive,0.8266069293022156,neutral,0.5377797484397888
46.0,arkadaşlar meeting schedule edeceğiz bugün. break sırasında saati precise edelim.,"['first', 'major', 'bir', 'durum', 'olmadıkça', 'standart', 'sözleşme', 'uygulanmaktadır']","['E', 'E', 'T', 'T', 'T', 'T', 'T', 'T']",True,2,6.0,0.25,8.0,code_switched,positive,0.997101366519928,neutral,0.8409566283226013
47.0,arkadaşlar workflow'umuzu bu mindset'te build etmeyelim.,"['demonstrationını', 'fiziksel', 'olarak', 'kullanıp', 'olumlu', 'sonuç', 'alırsak', 'spesifik', 'olarak', 'hayata', 'geçiririz']","['E', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T']",True,1,10.0,0.091,11.0,code_switched,positive,0.577759325504303,neutral,0.5373482704162598
48.0,günlerden bir gün yine bizim sekreterin kafasını yerken yıllarca plaza edebiyatıyla yoğrulmuş olan executive ablamızın biraz da etraftaki tercümanlara hava atma kaygısıyla ağzından şu sözler dökülüverdi,"['arkadaşlar', 'meeting', 'schedule', 'edeceğiz', 'bugün', 'break', 'sırasında', 'saati', 'precise', 'edelim']","['T', 'E', 'E', 'T', 'T', 'E', 'T', 'T', 'E', 'T']",True,4,6.0,0.4,10.0,code_switched,negative,0.8474534749984741,negative,0.7236104011535645
49.0,"Meeting yapiyoruz.Sonra alınan kararları check edip, briefleri mail ile push edeceğiz. İşleri outsource etmek gerekebilir. #plazadili","['arkadaşlar', ""workflow'umuzu"", 'bu', ""mindset'te"", 'build', 'etmeyelim']","['T', 'E', 'T', 'E', 'E', 'T']",True,3,3.0,0.5,6.0,code_switched,positive,0.9817532300949097,neutral,0.8482637405395508
50.0,oblivion ve masquerade nedense çok hoşuma gitmiştir her zaman için,"['günlerden', 'bir', 'gün', 'yine', 'bizim', 'sekreterin', 'kafasını', 'yerken', 'yıllarca', 'plaza', 'edebiyatıyla', 'yoğrulmuş', 'olan', 'executive', 'ablamızın', 'biraz', 'da', 'etraftaki', 'tercümanlara', 'hava', 'atma', 'kaygısıyla', 'ağzından', 'şu', 'sözler', 'dökülüverdi']","['T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'E', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T']",True,1,25.0,0.038,26.0,code_switched,positive,0.9965155124664307,positive,0.7889599800109863
51.0,ingiltere capinda the independent tarafindan yapilan ankette mother sozcugu birinci secilmi$tir.,"['meeting', 'yapiyoruz', 'sonra', 'alınan', 'kararları', 'check', 'edip', 'briefleri', 'mail', 'ile', 'push', 'edeceğiz', 'işleri', 'outsource', 'etmek', 'gerekebilir', 'plazadili']","['E', 'T', 'T', 'T', 'T', 'E', 'T', 'E', 'E', 'T', 'E', 'T', 'T', 'E', 'T', 'T', 'T']",True,6,11.0,0.353,17.0,code_switched,positive,0.9683716893196106,neutral,0.6735406517982483
52.0,"2.love olmu$tur. destiny ve tranquillity de listede.. hepsini hatirlamiyorum, bulursam editte gelecek.","['oblivion', 've', 'masquerade', 'nedense', 'çok', 'hoşuma', 'gitmiştir', 'her', 'zaman', 'için']","['E', 'T', 'E', 'T', 'T', 'T', 'T', 'T', 'T', 'T']",True,2,8.0,0.2,10.0,code_switched,positive,0.9952182173728943,neutral,0.5552051663398743
53.0,"british councilin 70. kurulus yildonumu sebebiyle duzenlenen, ingilizce konusulmayan 102 ulkede 40 bin kisinin katildigi bir arastirma sonucunda ingilizcedeki en guzel kelimenin mother oldugu gorulmus.","['ingiltere', 'capinda', 'the', 'independent', 'tarafindan', 'yapilan', 'ankette', 'mother', 'sozcugu', 'birinci', 'secilmitir']","['T', 'T', 'T', 'E', 'T', 'T', 'T', 'E', 'T', 'T', 'T']",True,2,9.0,0.182,11.0,code_switched,positive,0.9967066645622253,neutral,0.5041854977607727
54.0,"neyse, tabii ki en guzel kelime mother, father, brother-in-law filan degil, basbayagi diarrheadir. gerek okunusundaki karizma, gerekse tasidigi anlam itibariyle bu kelimeyi her sarfettiginizde goreceginiz saygi artacaktir.","['love', 'olmutur', 'destiny', 've', 'tranquillity', 'de', 'listede', 'hepsini', 'hatirlamiyorum', 'bulursam', 'editte', 'gelecek']","['E', 'T', 'E', 'T', 'E', 'T', 'T', 'T', 'T', 'T', 'T', 'T']",True,3,9.0,0.25,12.0,code_switched,positive,0.9575775265693665,positive,0.6907041072845459
55.0,"bununla beraber teknik dallarda ogrenim gormus insanlar icin determinant, eigenvalue ve constellationin gonullerdeki yeri ayridir.","['british', 'councilin', 'kurulus', 'yildonumu', 'sebebiyle', 'duzenlenen', 'ingilizce', 'konusulmayan', 'ulkede', 'bin', 'kisinin', 'katildigi', 'bir', 'arastirma', 'sonucunda', 'ingilizcedeki', 'en', 'guzel', 'kelimenin', 'mother', 'oldugu', 'gorulmus']","['E', 'E', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'E', 'T', 'T']",True,3,19.0,0.136,22.0,code_switched,positive,0.9875375628471375,neutral,0.6642366647720337
56.0,"politika alaninda ise aklima ilk gelen kelime filibusterdir. politika demisken, eski roma yargiclarina verilen isim olan praetor, pek uzun olmamasina ragmen essiz karizmasiyla kurtariyor. ayni karizmaya, biraz daha yuksek sesle ulasmak icin ise unleash birebirdir.","['neyse', 'tabii', 'ki', 'en', 'guzel', 'kelime', 'mother', 'father', 'brother-in-law', 'filan', 'degil', 'basbayagi', 'diarrheadir', 'gerek', 'okunusundaki', 'karizma', 'gerekse', 'tasidigi', 'anlam', 'itibariyle', 'bu', 'kelimeyi', 'her', 'sarfettiginizde', 'goreceginiz', 'saygi', 'artacaktir']","['T', 'T', 'T', 'T', 'T', 'T', 'E', 'E', 'E', 'T', 'T', 'T', 'E', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T']",True,4,23.0,0.148,27.0,code_switched,positive,0.9988273978233337,neutral,0.4446070194244385
57.0,again - söylemesi pek güzel. ayrıca how i met your mother da ted' in ağzından duymak mümkün; cheap trick' in voices şarkısını söylerken..,"['bununla', 'beraber', 'teknik', 'dallarda', 'ogrenim', 'gormus', 'insanlar', 'icin', 'determinant', 'eigenvalue', 've', 'constellationin', 'gonullerdeki', 'yeri', 'ayridir']","['T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'E', 'E', 'T', 'E', 'T', 'T', 'T']",True,3,12.0,0.2,15.0,code_switched,positive,0.9966015815734863,positive,0.783051609992981
